run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,curvature,hyperbolic_readout,readout_scale,learnable_curvature,hyperbolic_gnn,hyp_gnn_type,gnn_input_clip
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|baseline|t700|s1|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,baseline,confirm,700,1,spearman,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,80.49,1166.98,0.02707,0.02734,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|B|t701|s1|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,B,confirm,701,1,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_scale=1;tau_quantile=0.025,cosine,0.025,79.8,742.38,0.02698,0.01172,0.25,1,1,1,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|C|t702|s1|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,C,confirm,702,1,spearman,curvature=1.0;gnn_input_clip=1.0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,cosine,0.05,80.53,875.61,0.05013,0.0,1.0,,,,1,gcn,1.0
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|baseline|t700|s2|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,baseline,confirm,700,2,spearman,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,78.88,845.4,0.02685,0.01562,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|B|t701|s2|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,B,confirm,701,2,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_scale=1;tau_quantile=0.025,cosine,0.025,78.53,711.55,0.02685,0.01562,0.25,1,1,1,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|C|t702|s2|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,C,confirm,702,2,spearman,curvature=1.0;gnn_input_clip=1.0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,cosine,0.05,80.79,869.25,0.05015,0.0,1.0,,,,1,gcn,1.0
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|baseline|t700|s3|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,baseline,confirm,700,3,spearman,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,79.5,711.52,0.02727,0.01953,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|B|t701|s3|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,B,confirm,701,3,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_scale=1;tau_quantile=0.025,cosine,0.025,78.78,711.57,0.02727,0.01953,0.25,1,1,1,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|C|t702|s3|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,C,confirm,702,3,spearman,curvature=1.0;gnn_input_clip=1.0;graph_metric=cosine;hyp_gnn_type=gcn;hyperbolic_gnn=1;tau_quantile=0.05,cosine,0.05,80.25,868.61,0.04969,0.0,1.0,,,,1,gcn,1.0
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|decoder_stsb_matched|baseline|t700|s4|confirm,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,decoder_stsb_matched,stsb,baseline,confirm,700,4,spearman,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,80.48,714.19,0.0269,0.01172,,,,,,,
