run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,tau
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,0,42,spearman,graph_metric=cosine;tau_quantile=0.28,cosine,0.28,81.1,830.08,0.36987,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,1,42,spearman,graph_metric=cosine;tau_quantile=0.38,cosine,0.38,81.12,694.3,0.46723,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t2|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,2,42,spearman,graph_metric=cosine;tau_quantile=0.15,cosine,0.15,80.91,696.22,0.24094,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t3|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,3,42,spearman,graph_metric=cosine;tau_quantile=0.0375,cosine,0.0375,81.02,830.86,0.1287,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t4|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,4,42,spearman,graph_metric=cosine;tau_quantile=0.05,cosine,0.05,80.74,696.57,0.14198,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t5|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,5,42,spearman,graph_metric=cosine;tau_quantile=0.2,cosine,0.2,80.96,696.38,0.28848,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t6|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,6,42,spearman,graph_metric=cosine;tau_quantile=0.1,cosine,0.1,81.3,693.51,0.19281,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t7|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,7,42,spearman,graph_metric=cosine;tau_quantile=0.0125,cosine,0.0125,81.13,830.15,0.10322,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t8|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,8,42,spearman,graph_metric=cosine;tau_quantile=0.075,cosine,0.075,80.71,830.76,0.16792,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|baseline|t9|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,baseline,tune,9,42,spearman,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,81.35,829.99,0.11853,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|no_graph|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,no_graph,tune,0,42,spearman,graph_metric=cosine;tau=0.999,cosine,,80.47,820.21,0.09196,0.0,0.999
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,0,42,spearman,feature_mode=center;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.1,poincare,,81.51,840.45,0.191,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,1,42,spearman,feature_mode=cls_root_unit;graph_curvature=4.0;graph_metric=poincare;rho_quantile=0.38,poincare,,80.94,845.48,0.46617,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t2|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,2,42,spearman,feature_mode=unit;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.025,poincare,,81.0,731.65,0.11802,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t3|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,3,42,spearman,feature_mode=center;graph_curvature=9.0;graph_metric=poincare;rho_quantile=0.2,poincare,,80.49,850.52,0.28668,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t4|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,4,42,spearman,feature_mode=center_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.38,poincare,,80.65,739.04,0.46617,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t5|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,5,42,spearman,feature_mode=center_unit;graph_curvature=4.0;graph_metric=poincare;rho_quantile=0.05,poincare,,81.01,743.47,0.14122,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t6|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,6,42,spearman,feature_mode=center;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.05,poincare,,81.25,859.66,0.14097,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t7|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,7,42,spearman,feature_mode=cls_root_unit;graph_curvature=9.0;graph_metric=poincare;rho_quantile=0.05,poincare,,80.04,868.67,0.11599,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t8|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,8,42,spearman,feature_mode=cls_root_unit;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.1,poincare,,81.03,836.96,0.19199,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|A|t9|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,A,tune,9,42,spearman,feature_mode=center_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.05,poincare,,80.85,872.87,0.14122,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,0,42,spearman,curvature=0.25;feature_mode=center_unit;graph_curvature=2.25;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=0;readout_clip=1.0;readout_scale=1;rho_quantile=0.1,poincare,,76.64,732.53,0.19199,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,1,42,spearman,curvature=4.0;feature_mode=center;graph_curvature=9.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=1;readout_clip=1.0;readout_scale=1;rho_quantile=0.05,poincare,,45.33,736.29,0.14097,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t2|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,2,42,spearman,curvature=4.0;feature_mode=center;graph_curvature=9.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=0;readout_clip=0.3;readout_scale=0;rho_quantile=0.38,poincare,,50.76,718.8,0.46272,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t3|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,3,42,spearman,curvature=0.25;feature_mode=center_unit;graph_curvature=4.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=0;readout_clip=0.0;readout_scale=0;rho_quantile=0.1,poincare,,76.15,732.52,0.19199,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t4|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,4,42,spearman,curvature=4.0;feature_mode=cls_root_unit;graph_curvature=1.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;rho_quantile=0.05,poincare,,47.73,730.11,0.14122,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t5|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,5,42,spearman,curvature=4.0;feature_mode=center_unit;graph_curvature=9.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=1;readout_clip=1.0;readout_scale=0;rho_quantile=0.38,poincare,,49.93,726.88,0.46591,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t6|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,6,42,spearman,curvature=1.0;feature_mode=center;graph_curvature=1.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=0;rho_quantile=0.1,poincare,,70.24,731.5,0.19177,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t7|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,7,42,spearman,curvature=0.25;feature_mode=center;graph_curvature=9.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=0;readout_clip=0.3;readout_scale=1;rho_quantile=0.1,poincare,,50.71,736.28,0.191,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t8|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,8,42,spearman,curvature=1.0;feature_mode=center;graph_curvature=9.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;rho_quantile=0.025,poincare,,66.85,723.9,0.11802,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AB|t9|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AB,tune,9,42,spearman,curvature=1.0;feature_mode=center_unit;graph_curvature=4.0;graph_metric=poincare;hyperbolic_readout=1;learnable_curvature=0;readout_clip=1.0;readout_scale=0;rho_quantile=0.2,poincare,,69.58,734.23,0.28796,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AC|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AC,tune,0,42,spearman,curvature=0.25;feature_mode=center_unit;gnn_input_clip=1.0;gnn_input_scale=1;graph_curvature=4.0;graph_metric=poincare;hyp_gnn_type=gcn;hyperbolic_gnn=1;rho_quantile=0.025,poincare,,80.98,870.87,0.12372,0.0,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|AC|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,AC,tune,1,42,spearman,curvature=4.0;feature_mode=center_unit;gnn_input_clip=0.0;gnn_input_scale=1;graph_curvature=0.25;graph_metric=poincare;hyp_gnn_type=gcn;hyperbolic_gnn=1;rho_quantile=0.1,poincare,,81.06,760.8,0.19707,0.0,
