run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,graph_metric,tau_quantile,score,elapsed_sec,mean_density,empty_frac,curvature,feature_mode,graph_curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,rho_quantile
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,0,42,mcc,graph_metric=cosine;tau_quantile=0.025,cosine,0.025,42.93,546.74,0.13877,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,1,42,mcc,graph_metric=cosine;tau_quantile=0.2,cosine,0.2,45.65,532.11,0.30763,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t2|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,2,42,mcc,graph_metric=cosine;tau_quantile=0.15,cosine,0.15,41.81,531.78,0.25943,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t3|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,3,42,mcc,graph_metric=cosine;tau_quantile=0.1,cosine,0.1,41.91,533.14,0.21196,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t4|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,4,42,mcc,graph_metric=cosine;tau_quantile=0.0375,cosine,0.0375,42.83,529.99,0.14943,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t5|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,5,42,mcc,graph_metric=cosine;tau_quantile=0.075,cosine,0.075,40.77,530.48,0.18861,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t6|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,6,42,mcc,graph_metric=cosine;tau_quantile=0.38,cosine,0.38,45.83,530.82,0.48744,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t7|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,7,42,mcc,graph_metric=cosine;tau_quantile=0.0125,cosine,0.0125,42.65,533.57,0.12277,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t8|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,8,42,mcc,graph_metric=cosine;tau_quantile=0.28,cosine,0.28,47.89,531.34,0.39091,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|baseline|t9|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,baseline,tune,9,42,mcc,graph_metric=cosine;tau_quantile=0.05,cosine,0.05,43.09,531.26,0.16145,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|no_graph|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,no_graph,tune,0,42,mcc,graph_metric=cosine;tau=0.999,cosine,,44.92,526.87,0.11202,0.0,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,0,42,mcc,feature_mode=cls_root_unit;graph_curvature=1.0;graph_metric=poincare;rho_quantile=0.025,poincare,,43.82,520.82,0.13745,0.0,,cls_root_unit,1.0,,,,,0.025
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,1,42,mcc,feature_mode=unit;graph_curvature=0.25;graph_metric=poincare;rho_quantile=0.38,poincare,,41.01,555.66,0.48655,0.0,,unit,0.25,,,,,0.38
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t2|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,2,42,mcc,feature_mode=center_unit;graph_curvature=4.0;graph_metric=poincare;rho_quantile=0.2,poincare,,40.2,559.43,0.30662,0.0,,center_unit,4.0,,,,,0.2
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t3|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,3,42,mcc,feature_mode=cls_root_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.2,poincare,,45.92,554.66,0.3066,0.0,,cls_root_unit,2.25,,,,,0.2
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t4|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,4,42,mcc,feature_mode=center;graph_curvature=4.0;graph_metric=poincare;rho_quantile=0.38,poincare,,44.91,558.87,0.4844,0.0,,center,4.0,,,,,0.38
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t5|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,5,42,mcc,feature_mode=center;graph_curvature=4.0;graph_metric=poincare;rho_quantile=0.05,poincare,,42.42,555.49,0.15969,0.0,,center,4.0,,,,,0.05
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t6|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,6,42,mcc,feature_mode=center;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.1,poincare,,43.24,556.21,0.21056,0.0,,center,2.25,,,,,0.1
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t7|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,7,42,mcc,feature_mode=center_unit;graph_curvature=1.0;graph_metric=poincare;rho_quantile=0.025,poincare,,43.73,557.63,0.13745,0.0,,center_unit,1.0,,,,,0.025
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t8|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,8,42,mcc,feature_mode=center_unit;graph_curvature=2.25;graph_metric=poincare;rho_quantile=0.025,poincare,,41.27,558.48,0.13745,0.0,,center_unit,2.25,,,,,0.025
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola|A|t9|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola,cola,A,tune,9,42,mcc,feature_mode=center;graph_curvature=4.0;graph_metric=poincare;rho_quantile=0.2,poincare,,44.74,559.09,0.30501,0.0,,center,4.0,,,,,0.2
