run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,curvature,graph_metric,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,tau_quantile,score,elapsed_sec,mean_density,empty_frac,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,0,42,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.3;readout_scale=0;tau_quantile=0.05,0.25,cosine,1,1,0.3,0,0.05,52.36,816.51,0.05002,0.0,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,1,42,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.025,0.25,cosine,1,1,0.0,1,0.025,78.38,764.24,0.02658,0.01172,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t2|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,2,42,spearman,curvature=1.0;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.0;readout_scale=1;tau_quantile=0.05,1.0,cosine,1,1,0.0,1,0.05,67.97,777.59,0.05002,0.0,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t3|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,3,42,spearman,curvature=1.0;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=0;readout_clip=0.7;readout_scale=0;tau_quantile=0.05,1.0,cosine,1,0,0.7,0,0.05,58.88,753.04,0.05002,0.0,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t4|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,4,42,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=0;readout_clip=0.3;readout_scale=0;tau_quantile=0.05,0.25,cosine,1,0,0.3,0,0.05,50.98,755.02,0.05002,0.0,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t5|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,5,42,spearman,curvature=4.0;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=0;readout_clip=1.0;readout_scale=1;tau_quantile=0.05,4.0,cosine,1,0,1.0,1,0.05,45.92,756.45,0.05002,0.0,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t6|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,6,42,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.7;readout_scale=0;tau_quantile=0.38,0.25,cosine,1,1,0.7,0,0.38,63.59,760.12,0.37528,0.0,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t7|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,7,42,spearman,curvature=4.0;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=0;readout_clip=0.3;readout_scale=0;tau_quantile=0.025,4.0,cosine,1,0,0.3,0,0.025,45.71,749.87,0.02658,0.01172,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t8|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,8,42,spearman,curvature=0.25;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.7;readout_scale=0;tau_quantile=0.025,0.25,cosine,1,1,0.7,0,0.025,60.82,758.63,0.02658,0.01172,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|stsb|B|t9|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,stsb,stsb,B,tune,9,42,spearman,curvature=1.0;graph_metric=cosine;hyperbolic_readout=1;learnable_curvature=1;readout_clip=0.3;readout_scale=1;tau_quantile=0.2,1.0,cosine,1,1,0.3,1,0.2,49.17,911.43,0.19652,0.0,,,,
