run_key,target,model,setting,task,arm,stage,trial,seed,metric,detail,gat_hidden_dim,graph_metric,jk_mode,lr,num_layers,proj_dim,scorer_hidden,tau_quantile,weight_decay,score,elapsed_sec,mean_density,empty_frac,feature_mode,graph_curvature,rho_quantile,curvature,hyperbolic_readout,learnable_curvature,readout_clip,readout_scale,gnn_input_clip,gnn_input_scale,hyp_gnn_type,hyperbolic_gnn,tau
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t0|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,0,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=0.0002;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.38;weight_decay=0.0,64,cosine,cat,0.0002,4,512,128,0.38,0.0,0.0,566.36,0.37683,0.0,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t1|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,1,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=4;proj_dim=256;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,64,cosine,max,2e-05,4,256,128,0.1,1e-05,11.1,535.48,0.10094,0.0,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t2|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,2,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.2;weight_decay=5e-05,256,cosine,cat,2e-05,4,512,128,0.2,5e-05,38.56,536.5,0.19566,0.0,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t3|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,3,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=cat;lr=2e-05;num_layers=4;proj_dim=512;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,64,cosine,cat,2e-05,4,512,128,0.1,1e-05,0.0,537.64,0.0984,0.0,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t4|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,4,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=2;proj_dim=256;scorer_hidden=128;tau_quantile=0.2;weight_decay=1e-05,64,cosine,max,0.001,2,256,128,0.2,1e-05,45.86,532.45,0.19488,0.00391,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t5|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,5,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=256;tau_quantile=0.2;weight_decay=1e-05,256,cosine,cat,0.001,2,128,256,0.2,1e-05,44.15,531.66,0.19621,0.0,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t6|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,6,42,mcc,gat_hidden_dim=256;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=128;scorer_hidden=128;tau_quantile=0.1;weight_decay=1e-05,256,cosine,cat,0.001,2,128,128,0.1,1e-05,43.32,532.56,0.09912,0.0,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t7|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,7,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=2e-05;num_layers=2;proj_dim=256;scorer_hidden=256;tau_quantile=0.38;weight_decay=5e-05,64,cosine,max,2e-05,2,256,256,0.38,5e-05,19.5,533.7,0.37582,0.0,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t8|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,8,42,mcc,gat_hidden_dim=128;graph_metric=cosine;jk_mode=cat;lr=0.001;num_layers=2;proj_dim=512;scorer_hidden=128;tau_quantile=0.38;weight_decay=1e-05,128,cosine,cat,0.001,2,512,128,0.38,1e-05,43.38,534.5,0.37542,0.0,,,,,,,,,,,,,
glue|TinyLlama/TinyLlama-1.1B-Chat-v1.0|cola_wide|baseline|t9|s42|tune,glue,TinyLlama/TinyLlama-1.1B-Chat-v1.0,cola_wide,cola,baseline,tune,9,42,mcc,gat_hidden_dim=64;graph_metric=cosine;jk_mode=max;lr=0.001;num_layers=4;proj_dim=512;scorer_hidden=256;tau_quantile=0.2;weight_decay=5e-05,64,cosine,max,0.001,4,512,256,0.2,5e-05,48.26,533.87,0.19487,0.0,,,,,,,,,,,,,
